City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
215,Alofi,NU,-19.0595,-169.9187,78.69,69,40,12.66,scattered clouds
216,Barstow,US,34.8986,-117.0228,88.79,27,61,8.14,broken clouds
217,Hasaki,JP,35.7333,140.8333,82.29,51,99,6.26,overcast clouds
218,Moussoro,TD,13.6408,16.4901,82.24,55,18,9.84,few clouds
219,East London,ZA,-33.0153,27.9116,61.74,94,40,8.05,scattered clouds
220,Novopavlovka,RU,51.2172,109.2091,48.47,57,58,4.41,broken clouds
221,Vao,NC,-22.6667,167.4833,74.68,76,100,13.42,light rain
222,Payo,ID,-3.7508,103.6372,89.96,51,90,3.6,overcast clouds
223,Pochinki,RU,54.6988,44.8668,53.53,96,100,1.88,overcast clouds
224,Nizhniy Baskunchak,RU,48.2198,46.8311,65.68,71,24,6.67,few clouds
225,Cozumel,MX,20.5083,-86.9458,82.47,76,0,12.66,clear sky
226,Galle,LK,6.0367,80.217,82.69,71,57,13.56,broken clouds
227,Marshfield,US,44.6689,-90.1718,39.15,93,0,0.0,clear sky
228,Weyburn,CA,49.6668,-103.8511,59.22,47,6,6.91,clear sky
229,Calama,CL,-22.4667,-68.9333,39.69,14,0,12.66,clear sky
230,Pacific Grove,US,36.6177,-121.9166,67.8,87,20,8.99,few clouds
231,Ca Mau,VN,9.1769,105.15,86.14,66,100,11.01,moderate rain
232,Urambo,TZ,-5.0667,32.05,67.08,49,100,4.5,overcast clouds
233,Saldanha,ZA,-33.0117,17.9442,51.85,81,100,8.3,overcast clouds
234,Tautira,PF,-17.7333,-149.15,78.06,73,1,15.55,clear sky
235,Palmer,US,42.1584,-72.3287,57.99,76,75,4.61,broken clouds
236,Saint-Philippe,RE,-21.3585,55.7679,69.39,67,60,11.25,broken clouds
237,Graaff-Reinet,ZA,-32.2522,24.5308,54.91,79,83,1.36,broken clouds
238,Den Helder,NL,52.9599,4.7593,46.38,93,13,5.01,few clouds
239,Half Moon Bay,US,37.4636,-122.4286,68.88,86,100,12.66,mist
240,Ribeira Grande,PT,38.5167,-28.7,69.04,69,28,7.07,scattered clouds
241,Waharoa,NZ,-37.7667,175.7667,63.75,89,100,7.27,overcast clouds
242,Kieta,PG,-6.2167,155.6333,85.12,64,68,6.04,broken clouds
243,Bharatpur,IN,27.2167,77.4833,86.86,52,1,2.89,clear sky
244,Karakol,KG,42.4907,78.3936,57.92,47,96,2.86,overcast clouds
245,Sur,OM,22.5667,59.5289,83.03,65,0,8.9,clear sky
246,College,US,64.8569,-147.8028,50.32,56,75,4.61,broken clouds
247,Sitka,US,57.0531,-135.33,55.29,88,100,0.0,overcast clouds
248,Morehead,US,37.2711,-87.1764,52.99,78,0,0.0,clear sky
249,Beroroha,MG,-21.6667,45.1667,66.85,53,0,9.13,clear sky
250,Huntingdon,GB,52.3305,-0.1865,50.25,89,99,5.61,overcast clouds
251,Yinchuan,CN,38.4681,106.2731,78.33,24,15,8.34,few clouds
252,San Quintin,MX,30.4833,-115.95,72.01,83,1,5.55,clear sky
253,Kachiry,KZ,53.0675,76.1036,32.95,57,14,15.55,few clouds
254,Sjenica,RS,43.2731,19.9994,51.58,83,100,5.32,overcast clouds
255,Saskylakh,RU,71.9167,114.0833,27.81,94,100,11.95,light snow
256,Segou,ML,13.4317,-6.2157,77.59,78,19,10.78,few clouds
257,Narsaq,GL,60.9167,-46.05,41.92,96,100,2.35,light rain
258,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,98,75,10.36,broken clouds
259,Cleburne,US,32.3476,-97.3867,79.34,37,40,6.91,scattered clouds
260,Prachuap Khiri Khan,TH,12.2167,99.75,78.85,70,100,10.63,overcast clouds
261,Posse,BR,-14.0931,-46.3694,74.35,40,58,5.68,broken clouds
262,Pontevel,PT,39.1494,-8.8388,63.61,77,71,10.49,broken clouds
263,Chandigarh,IN,30.7343,76.7933,81.57,63,0,3.29,clear sky
264,Batagay,RU,67.6333,134.6333,30.76,74,100,3.96,overcast clouds
265,Hobyo,SO,5.3505,48.5268,78.12,82,61,20.36,broken clouds
266,Anadyr,RU,64.75,177.4833,36.1,74,75,13.42,broken clouds
267,Erzurum,TR,40.0,41.5,54.64,39,0,5.57,clear sky
268,Mezen,RU,65.8522,44.24,28.69,69,0,7.27,clear sky
269,Asaba,NG,6.2006,6.7338,72.09,98,100,1.88,overcast clouds
270,Turangi,NZ,-39.0,175.9333,50.11,98,100,1.41,overcast clouds
271,Clermont,FR,49.5,2.4167,47.71,89,89,1.59,overcast clouds
272,Sorochinsk,RU,52.4338,53.1583,49.59,92,100,17.87,overcast clouds
273,Chokwe,MZ,-24.5333,32.9833,68.56,90,39,3.33,scattered clouds
