City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Hilo,US,2022-09-26 00:56:48,19.7297,-155.09,83.28,85,44,5.99
161,Okhotsk,RU,2022-09-26 00:56:55,59.3833,143.3,45.79,50,13,3.76
162,Alekseyevka,RU,2022-09-26 00:56:55,50.6309,38.6903,43.99,84,29,10.65
163,Teahupoo,PF,2022-09-26 00:56:55,-17.8333,-149.2667,76.96,78,39,19.06
164,Belyy Yar,RU,2022-09-26 00:56:56,53.6039,91.3903,49.89,93,75,8.95
165,Ancud,CL,2022-09-26 00:56:56,-41.8697,-73.8203,48.22,81,100,19.3
166,Bathsheba,BB,2022-09-26 00:56:57,13.2167,-59.5167,81.21,83,40,17.27
167,Hualmay,PE,2022-09-26 00:56:57,-11.0964,-77.6139,61.66,81,63,10.31
168,Coihaique,CL,2022-09-26 00:56:57,-45.5752,-72.0662,45.21,76,100,4.61
169,Union,US,2022-09-26 00:56:58,40.6334,-74.2663,66.11,89,40,3.44
170,Port Hawkesbury,CA,2022-09-26 00:56:58,45.6169,-61.3485,58.59,87,100,5.75
171,Naze,JP,2022-09-26 00:56:59,28.3667,129.4833,81.52,75,16,9.78
172,Ucluelet,CA,2022-09-26 00:54:09,48.9329,-125.5528,66.51,83,46,3.0
173,Saint-Denis,FR,2022-09-26 00:56:59,48.9167,2.3333,55.11,78,0,5.75
174,Flin Flon,CA,2022-09-26 00:57:00,54.7682,-101.865,45.97,48,100,4.45
175,Bend,US,2022-09-26 00:57:00,44.0582,-121.3153,82.15,30,0,11.5
176,Antofagasta,CL,2022-09-26 00:57:01,-23.65,-70.4,58.28,70,19,6.53
177,Pangoa,PE,2022-09-26 00:57:01,-12.1167,-73.0,68.27,98,100,3.2
178,Poplar Bluff,US,2022-09-26 00:57:02,36.757,-90.3929,73.18,46,0,5.5
179,Sao Felix Do Xingu,BR,2022-09-26 00:58:02,-6.6447,-51.995,71.29,96,94,2.06
180,Lagoa,PT,2022-09-26 00:58:04,39.05,-27.9833,69.89,71,100,22.79
181,Ape,LV,2022-09-26 00:56:18,57.5393,26.6929,38.57,92,54,0.89
182,Nanakuli,US,2022-09-26 00:58:05,21.3906,-158.1547,85.44,78,100,0.0
183,Thanh Hoa,VN,2022-09-26 00:55:40,19.8,105.7667,77.61,85,75,4.88
184,Altamira,BR,2022-09-26 00:58:05,-3.2033,-52.2064,77.76,66,13,2.66
185,Black River,JM,2022-09-26 00:58:06,18.0264,-77.8487,77.97,88,100,9.73
186,Jardim,BR,2022-09-26 00:58:06,-21.4803,-56.1381,71.78,88,100,2.8
187,Ferme-Neuve,CA,2022-09-26 00:58:07,46.7001,-75.4493,50.63,80,97,1.45
188,Kahului,US,2022-09-26 00:58:07,20.8947,-156.47,84.85,75,49,14.0
189,Aykhal,RU,2022-09-26 00:58:08,66.0,111.5,17.29,95,91,4.92
190,Sorland,NO,2022-09-26 00:58:09,67.667,12.6934,53.46,75,7,17.4
